SP500,SF1,ZEP,Sector,DateInSP500,DateOutSP500
A,A,A,Health Care,06/02/00,01/01/20
AA,AA,AA,Materials,01/01/99,01/01/20
AAL,AAL,AAL,Industrials,03/20/15,01/01/20
AAP,AAP,AAP,Consumer Discretionary,07/08/15,01/01/20
AAPL,AAPL,AAPL,Information Technology,01/01/99,01/01/20
ABBV,ABBV,ABBV,Health Care,01/01/13,01/01/20
ABC,ABC,ABC,Health Care,08/29/01,01/01/20
ABI,ABI1,ABI_2,Health Care,01/01/99,11/21/08
ABS,ABS,ABS_,Consumer Staples,01/01/99,06/01/06
ABT,ABT,ABT,Health Care,01/01/99,01/01/20
ABX,ABX,ABX,Materials,01/01/99,07/19/02
ACAS,ACAS,ACAS,Financials,07/06/07,03/03/09
ACN,ACN,ACN,Information Technology,07/05/11,01/01/20
ACS,ACS,ACS_,Information Technology,04/01/04,01/29/10
ACV,ACV1,ACV_,Consumer Staples,01/01/99,11/16/06
ADBE,ADBE,ADBE,Information Technology,01/01/99,01/01/20
ADCT,ADCT,ADCT,Information Technology,01/01/99,06/29/07
ADI,ADI,ADI,Information Technology,01/01/99,01/01/20
ADM,ADM,ADM,Consumer Staples,01/01/99,01/01/20
ADP,ADP,ADP,Information Technology,01/01/99,01/01/20
ADS,ADS,ADS,Information Technology,12/20/13,01/01/20
ADSK,ADSK,ADSK,Information Technology,01/01/99,01/01/20
ADT,ADT,ADT,Industrials,09/28/12,05/02/16
AEE,AEE,AEE,Utilities,01/01/99,01/01/20
AEP,AEP,AEP,Utilities,01/01/99,01/01/20
AES,AES,AES,Utilities,01/01/99,01/01/20
AET,AET,AET,Health Care,01/01/99,01/01/20
AFL,AFL,AFL,Financials,01/01/99,01/01/20
AGN,AGN,AGN,Health Care,01/01/99,01/01/20
AIG,AIG,AIG,Financials,01/01/99,01/01/20
AIV,AIV,AIV,Real Estate,03/13/03,01/01/20
AIZ,AIZ,AIZ,Financials,04/09/07,01/01/20
AJG,AJG,AJG,Financials,05/27/16,01/01/20
AKAM,AKAM,AKAM,Information Technology,07/11/07,01/01/20
AKS,AKS,AKS,Materials,06/30/08,12/16/11
ALK,ALK,ALK,Industrials,05/12/16,01/01/20
ALL,ALL,ALL,Financials,01/01/99,01/01/20
ALLE,ALLE,ALLE,Industrials,11/29/13,01/01/20
ALTR,ALTR,ALTR,Information Technology,04/17/00,12/28/15
ALXN,ALXN,ALXN,Health Care,05/21/12,01/01/20
AMAT,AMAT,AMAT,Information Technology,01/01/99,01/01/20
ABK,AMBC,AMBC,Financials,12/08/00,06/10/08
AMCC,AMCC,AMCC,Information Technology,12/29/00,05/17/06
AMD,AMD,AMD,Information Technology,01/01/99,09/20/13
AME,AME,AME,Industrials,09/20/13,01/01/20
AMG,AMG,AMG,Financials,06/30/14,01/01/20
AMGN,AMGN,AMGN,Health Care,01/01/99,01/01/20
AMP,AMP,AMP,Financials,09/30/05,01/01/20
AMR,AMR,AMR,Industrials,01/01/99,03/13/03
AMT,AMT,AMT,Real Estate,11/16/07,01/01/20
AMZN,AMZN,AMZN,Consumer Discretionary,11/18/05,01/01/20
AN,AN,AN,Consumer Discretionary,02/21/03,01/01/20
ANDW,ANDW,ANDW,Information Technology,01/01/99,09/29/06
ANF,ANF,ANF,Consumer Discretionary,03/28/07,12/20/13
ANR,ANRZ,ANRZQ,Energy,06/01/11,10/01/12
ANTM,ANTM,ANTM,Health Care,07/24/02,01/01/20
AON,AON,AON,Financials,01/01/99,01/01/20
APA,APA,APA,Energy,01/01/99,01/01/20
APC,APC,APC,Energy,01/01/99,01/01/20
APD,APD,APD,Materials,01/01/99,01/01/20
APH,APH,APH,Information Technology,09/29/08,01/01/20
APOL,APOL,APOL,Consumer Discretionary,05/14/02,06/28/13
ARC,ARC,ARC,Energy,01/01/99,04/17/00
ARG,ARG,ARG,Materials,09/08/09,05/20/16
ASH,ASH,ASH,Materials,01/01/99,11/13/08
ASN,ASN,ASN,Real Estate,12/17/04,10/05/07
ASO,ASO,ASO_,Financials,01/01/99,11/03/06
AT,AT1,AT_3,Telecommunications,01/01/99,11/16/07
ATI,ATI,ATI,Materials,01/01/99,07/01/15
ATVI,ATVI,ATVI,Information Technology,08/28/15,01/01/20
AV,AV1,AV_,Information Technology,09/29/00,10/25/07
AVB,AVB,AVB,Real Estate,01/09/07,01/01/20
AVP,AVP,AVP,Consumer Staples,01/01/99,03/20/15
AVY,AVY,AVY,Materials,01/01/99,01/01/20
AW,AW,AW,Industrials,01/01/99,12/04/08
AWK,AWK,AWK,Consumer Discretionary,03/03/16,01/01/20
AXP,AXP,AXP,Financials,01/01/99,01/01/20
AYE,AYE,AYE,Utilities,12/08/00,02/25/11
AYI,AYI,AYI,Information Technology,05/02/16,01/01/20
AZO,AZO,AZO,Consumer Discretionary,01/01/99,01/01/20
BA,BA,BA,Industrials,01/01/99,01/01/20
BAC,BAC,BAC,Financials,01/01/99,01/01/20
BAX,BAX,BAX,Health Care,01/01/99,01/01/20
BBBY,BBBY,BBBY,Consumer Discretionary,01/01/99,01/01/20
BBT,BBT,BBT,Financials,01/01/99,01/01/20
BBY,BBY,BBY,Consumer Discretionary,01/01/99,01/01/20
BC,BC,BC,Consumer Discretionary,01/01/99,06/20/08
BCR,BCR,BCR,Health Care,01/01/99,01/01/20
BDK,BDK,BDK,Consumer Discretionary,01/01/99,03/12/10
BDX,BDX,BDX,Health Care,01/01/99,01/01/20
BEAM,BEAM,BEAM,Consumer Staples,01/01/99,04/30/14
BEN,BEN,BEN,Financials,01/01/99,01/01/20
BF.B,BFB,BF_B,Consumer Staples,01/01/99,01/01/20
BGG,BGG,BGG,Industrials,01/01/99,04/02/01
BHI,BHI,BHI,Energy,01/01/99,01/01/20
BIG,BIG,BIG,Consumer Discretionary,01/01/99,02/13/13
BIIB,BIIB,BIIB,Health Care,11/12/03,01/01/20
BJS,BJS,BJS,Energy,05/14/02,04/29/10
BK,BK,BK,Financials,06/29/07,06/29/07
BLK,BLK,BLK,Financials,04/01/11,01/01/20
BLL,BLL,BLL,Materials,01/01/99,01/01/20
BLS,BLS,BLS,Telecommunications,01/01/99,01/03/07
BMC,BMC,BMC,Information Technology,01/01/99,09/10/13
BMET,BMET,BMET,Health Care,01/01/99,07/11/07
BMS,BMS,BMS,Materials,01/01/99,12/04/14
BMY,BMY,BMY,Health Care,01/01/99,01/01/20
BNI,BNI,BNI,Industrials,01/01/99,02/12/10
BOL,BOL,BOL,Health Care,01/01/99,10/26/07
BR,BR1,BR_,Energy,01/01/99,03/31/06
BRCM,BRCM,BRCM,Information Technology,06/30/00,01/29/16
BRK.B,BRKB,BRK_B,Financials,02/12/10,01/01/20
BRL,BRL,BRL,Health Care,02/24/06,12/22/08
BSX,BSX,BSX,Health Care,01/01/99,01/01/20
BTU,BTUUQ,BTUUQ,Energy,11/17/06,09/19/14
BUD,BUD,BUD,Consumer Staples,01/01/99,11/18/08
BVSN,BVSN,BVSN,Information Technology,11/03/00,08/31/01
BWA,BWA,BWA,Consumer Discretionary,12/16/11,01/01/20
BXLT,BXLT,BXLT,Health Care,06/30/15,06/02/16
BXP,BXP,BXP,Real Estate,03/31/06,01/01/20
C,C,C,Financials,01/01/99,01/01/20
CA,CA,CA,Information Technology,01/01/99,01/01/20
CAG,CAG,CAG,Consumer Staples,01/01/99,01/01/20
CAH,CAH,CAH,Health Care,01/01/99,01/01/20
CAM,CAM,CAM,Energy,01/28/08,04/01/16
CAT,CAT,CAT,Industrials,01/01/99,01/01/20
CB,CB,CB,Financials,07/14/10,07/17/08
CBE,CBE,CBE,Industrials,11/18/11,11/30/12
CBG,CBG,CBG,Real Estate,11/09/06,01/01/20
CBH,CBH,CBH,Financials,06/05/06,03/28/08
CBS,CBS,CBS,Consumer Discretionary,01/01/99,01/01/20
CBSS,CBSS,CBSS_,Financials,12/17/04,09/07/07
CCE,CCE,CCE,Consumer Staples,01/01/99,05/27/16
CCI,CCI,CCI,Real Estate,03/13/12,01/01/20
CCK,CCK,CCK,Materials,01/01/99,12/08/00
CCL,CCL,CCL,Consumer Discretionary,01/01/99,01/01/20
CEG,CEG,CEG,Utilities,01/01/99,03/13/12
CELG,CELG,CELG,Health Care,11/03/06,01/01/20
CEN,CEN1,CEN_,Information Technology,01/01/99,03/30/01
CEPH,CEPH,CEPH,Health Care,11/14/08,10/14/11
